Week,Product 1 (Feminist Fiction) sales per week,Product 2 (Biographies) sales per week,NEW genre (Children's Literature) sales per week,NEW genre (Feminist Zines) sales per week
1,$407.33,$318.78,$106.26,$99.08
2,$345.44,$270.35,$90.12,$84.03
3,$294.33,$230.35,$76.78,$71.59
4,$371.56,$290.78,$96.93,$90.38
5,$314.33,$246.00,$82.00,$76.46
6,$374.89,$293.39,$97.80,$91.19
7,$365.00,$285.65,$95.22,$88.78
8,$409.44,$320.43,$106.81,$99.59
9,$329.78,$258.09,$86.03,$80.22
10,$379.11,$296.70,$98.90,$92.22
11,$319.56,$250.09,$83.36,$77.73
12,$314.22,$245.91,$81.97,$76.43
13,$352.33,$275.74,$91.91,$85.70
14,$338.67,$265.04,$88.35,$82.38
15,$398.78,$312.09,$104.03,$97.00
16,$328.78,$257.30,$85.77,$79.97
17,$280.44,$219.48,$73.16,$68.22
18,$345.67,$270.52,$90.17,$84.08
19,$382.44,$299.30,$99.77,$93.03
20,$404.00,$316.17,$105.39,$98.27
21,$288.67,$225.91,$75.30,$70.22
22,$416.00,$325.57,$108.52,$101.19
23,$367.78,$287.83,$95.94,$89.46
24,$442.56,$346.35,$115.45,$107.65
25,$348.22,$272.52,$90.84,$84.70
26,$379.00,$296.61,$98.87,$92.19
27,$386.00,$302.09,$100.70,$93.89
28,$313.22,$245.13,$81.71,$76.19
29,$429.22,$335.91,$111.97,$104.41
30,$405.67,$317.48,$105.83,$98.68
31,$467.67,$366.00,$122.00,$113.76
32,$457.11,$357.74,$119.25,$111.19
33,$540.22,$422.78,$140.93,$131.41
34,$365.44,$286.00,$95.33,$88.89
35,$377.11,$295.13,$98.38,$91.73
36,$272.22,$213.04,$71.01,$66.22
37,$268.56,$210.17,$70.06,$65.32
38,$299.00,$234.00,$78.00,$72.73
39,$302.11,$236.43,$78.81,$73.49
40,$275.67,$215.74,$71.91,$67.05
41,$255.00,$199.57,$66.52,$62.03
42,$370.11,$289.65,$96.55,$90.03
43,$147.33,$115.30,$38.43,$35.84
44,$378.22,$296.00,$98.67,$92.00
45,$416.33,$325.83,$108.61,$101.27
46,$347.89,$272.26,$90.75,$84.62
47,$361.00,$282.52,$94.17,$87.81
48,$474.78,$371.57,$123.86,$115.49
49,$588.22,$460.35,$153.45,$143.08
50,$630.22,$493.22,$164.41,$153.30
51,$544.78,$426.35,$142.12,$132.51
52,$569.05,$470.15,$149.55,$119.22
