Customer,How satisfied were you with your overall delivery experience at Garden?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Garden?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Gardent?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate?                                 Please respond yes or no.
1,5,3,4,Yes
2,3,4,3,Yes
3,4,5,2,Yes
4,5,3,4,Yes
5,2,5,1,Yes
6,5,2,5,Yes
7,1,4,3,Yes
8,3,3,2,No
9,5,1,3,Yes
10,3,5,3,No
11,5,3,4,Yes
12,2,2,5,Yes
13,4,5,3,No
14,3,4,2,Yes
15,1,5,1,Yes
16,5,4,5,Yes
17,2,2,4,Yes
18,4,5,4,No
19,5,1,5,Yes
20,2,4,4,Yes
21,5,5,1,Yes
22,3,3,3,No
23,1,5,5,Yes
24,5,4,4,Yes
25,3,3,2,Yes
26,2,3,4,Yes
27,2,2,3,No
28,4,5,4,Yes
29,4,1,2,Yes
30,3,4,5,Yes
31,5,5,4,Yes
32,3,3,4,No
33,1,2,5,Yes
34,5,5,1,Yes
35,5,1,2,Yes
36,2,3,3,Yes
37,1,5,4,Yes
38,5,4,3,Yes
39,2,2,4,No
40,3,3,2,Yes
