id,name,rating,address,city,lat-long
0,99-tea-house-fremont-2,4.5,3623 Thornton Ave,      Fremont,37.56295-122.010039999999
1,one-tea-fremont-2,4.5,46809 Warm Springs Blvd,      Fremont,37.4890666928572-121.929413750767
2,royaltea-usa-fremont,4,38509 Fremont Blvd,      Fremont,37.5513151288032-121.993849799037
3,teco-tea-and-coffee-bar-fremont,4.5,39030 Paseo Padre Pkwy,      Fremont,37.5536945-121.981043
4,t-lab-fremont-3,4,34133 Fremont Blvd,      Fremont,37.576149-122.0437049
5,q-tea-monster-newark,4,39181 Cedar Blvd,      Newark,37.5229604101756-122.005785632481
6,gong-cha-fremont,6.7,46827 Warm Springs Blvd,      Fremont,37.4885682635695-121.929191268869
6,gong-cha-fremont,4,46827 Warm Springs Blvd,      Fremont,37.4885682635695-121.929191268869
7,happy-lemon-fremont-2,4.5,46873 Warm Spring Blvd,      Fremont,37.4884429093476-121.930383669657
8,factory-tea-bar-fremont-2,3.5,46461 Mission Blvd,      Fremont,37.4922976027806-121.927918713539
9,super-cue-cafe-fremont,3.5,43743 Boscell Rd,      Fremont,37.5007782876492-121.973167955875
10,milk-and-honey-cafe-fremont,3.5,34265 Fremont Blvd,      Fremont,37.575448103287-122.042586920966
11,tea-island-fremont-2,4,46196 Warm Springs Blvd,      Fremont,37.4935414360442-121.929889351584
12,taro-taro-dessert-and-tea-house-fremont,3.5,6018 Stevenson Blvd,      Fremont,37.5195973820395-121.989493228847
13,i-tea-fremont-2,3.5,43421 Christy St,      Fremont,37.504992442164-121.971231736243
14,i-tea-newark,4,34925 Newark Blvd,      Newark,37.5506935787169-122.051467484131
15,sharetea-fremont-2,4,3948 Washington Blvd,      Fremont,37.53195-121.957889999999
16,urbain-tea-fremont,3.5,1590 Washington Blvd,      Fremont,37.5312314119297-121.937047836775
17,mandro-teahouse-newark-3,4,34956 Newark Blvd,      Newark,37.5515049151237-122.050272187505
17,mandro-teahouse-newark-3,4,34956 Newark Blvd,      Newark,37.5515049151237-122.050272187505
18,gong-cha-newark,4,39730 Cedar Blvd,      Newark,37.5208-121.996426
19,tea-six-fremont-2,3.5,34460 Fremont Blvd,      Fremont,37.57509-122.0386
20,tata-teahouse-fremont-2,3,39230 Argonaut Way,      Fremont,37.543782-121.986825
21,tea-station-newark,3.5,39115 Cedar Blvd,      Newark,37.523356-122.006644999999
21,tea-station-newark,3.5,39115 Cedar Blvd,      Newark,37.523356-122.006644999999
22,sno-crave-tea-house-fremont,3,43773 Boscell Rd,      Fremont,37.500044-121.973621999999
23,boba-queen-fremont,5.2,34420 Fremont Blvd,      Fremont,37.5757-122.039769999999
24,t4-tea-fremont-2,3.5,43430 Mission Blvd,      Fremont,37.53181-121.91944
25,boba-fitt-drinks-union-city,3.5,31877 Alvarado Blvd,      Union City,37.5897191178595-122.071148412966
26,sweet-home-cafe-fremont-2,3.5,6068 Stevenson Blvd,      Fremont,37.5180666419642-121.989524069478
27,tea-era-mountain-view-2,4,271 Castro St,      Mountain View,37.3929561-122.0792811
28,teaspoon-los-altos,4,4546 El Camino Real,      Los Altos,37.401254171244-122.114469291963
29,t4-fremont-8,3.5,46132 Warm Springs Blvd,      Fremont,37.4932967-121.931298099999
30,my-delights-fremont,4,43486 Ellsworth St,      Fremont,37.5304985046387-121.920637562871
31,t4-fremont-3,3,36400 Fremont Blvd,      Fremont,37.5631118502019-122.015291475919
32,sno-crave-teahouse-union-city,4,1788 Decoto Rd,      Union City,37.5889987-122.0208657
33,sharetea-union-city-3,3.5,34391 Alvarado Niles Rd,      Union City,37.587234-122.022712
34,tastea-san-jose-2,4,1160 N Capitol Ave,      San Jose,37.3878-121.860189999999
35,i-tea-castro-valley,4,20666 Redwood Rd,      Castro Valley,37.6959109999999-122.072915
36,caface-newark-2,3.5,6180 Jarvis Ave,      Newark,37.54872-122.049289999999
37,tea-villa-milpitas,4,1679 N Milpitas Blvd,      Milpitas,37.4547351745994-121.911571876168
38,mr-green-bubble-union-city,3.5,1644 Decoto Rd,      Union City,37.5895754513833-122.020674874683
39,pop-tea-bar-palo-alto-2,4,456 Cambridge Ave,      Palo Alto,37.42655-122.146319999999
40,i-tea-milpitas,4,760 E Calaveras Blvd,      Milpitas,37.43274-121.89277
41,joy-4-tea-union-city,3.5,32148 Alvarado Blvd,      Union City,37.5894163879107-122.067683412499
42,sweet-coco-fremont-3,4,46164 Warm Springs Blvd,      Fremont,37.49369-121.93053
43,icy-blue-fremont,3.5,43360 Mission Blvd,      Fremont,37.53259-121.91949
44,teatop-milpitas,4.5,82 Ranch Dr,      Milpitas,37.42644-121.921619999999
45,ten-ren-tea-co-of-milpitas-milpitas,4.5,1732 N Milpitas Blvd,      Milpitas,37.4555854711176-121.909984275478
46,fantasia-coffee-and-tea-milpitas-2,4,528 Barber Ln,      Milpitas,37.4208151690146-121.916592059011
47,tapioca-express-union-city-2,3.5,1707 Decoto Rd,      Union City,37.589445484175-122.02183395763
48,gong-cha-palo-alto,4,439 Waverley St,      Palo Alto,37.447628-122.160728
49,sharetea-san-leandro-3,4,699 Lewelling Blvd,      San Leandro,37.687487183018-122.136023640633
50,boba-guys-san-francisco-6,4,429 Stockton St,      San Francisco,37.7899434017563-122.407306303981
51,boba-guys-san-francisco-4,4,3491 19th St,      San Francisco,37.75994-122.42112
52,wonderful-dessert-and-cafe-san-francisco-2,4,2035 Irving St,      San Francisco,37.7633252984489-122.479877762901
53,little-sweet-san-francisco-10,4,3836 Geary Blvd,      San Francisco,37.781425-122.4608022
54,teaspoon-san-francisco,4,2125 Polk St,      San Francisco,37.7963159707234-122.421975955366
55,boba-guys-san-francisco-10,4,1522 Fillmore St,      San Francisco,37.78365-122.43247
56,i-tea-san-francisco-3,4.5,253 Kearny St,      San Francisco,37.7905719929647-122.404304221271
57,boba-guys-san-francisco-7,4,8 Octavia St,      San Francisco,37.7728849972724-122.423546388745
58,plentea-san-francisco-san-francisco,3.5,341 Kearny St,      San Francisco,37.7914264423265-122.404249032891
59,steap-tea-bar-san-francisco-3,4.5,827 Sacramento St,      San Francisco,37.7932604402304-122.406762465835
60,purple-kow-san-francisco-2,3.5,3620 Balboa St,      San Francisco,37.775906-122.497818
61,omg-tea-san-francisco,4.5,2891 San Bruno Ave,      San Francisco,37.7254643-122.402527
62,asha-tea-house-san-francisco,4,17 Kearny St,      San Francisco,37.7881894888854-122.40366820246
63,super-cue-cafe-san-francisco,4,1139 Taraval St,      San Francisco,37.7429212-122.4782898
64,boba-guys-san-francisco-15,4,1002 16th St,      San Francisco,37.7665676429306-122.397055947925
65,infinitea-san-francisco,5.6,5351 Geary Blvd,      San Francisco,37.780295679705-122.477084781597
66,steep-san-francisco-2,4,240 Ritch St,      San Francisco,37.7803345695326-122.395782692426
67,mr-t-cafe-san-francisco,4,4689 Mission St,      San Francisco,37.72322-122.43556
68,tpumps-san-francisco,3.5,1916 Irving St,      San Francisco,37.7636264-122.4785915
69,tj-cups-san-francisco-5,4,2437 Noriega St,      San Francisco,37.75339-122.48993
70,wondertea-san-francisco-4,4.5,2250 Irving St,      San Francisco,37.7634668052021-122.482386571049
71,the-boba-shop-san-francisco-4,4.5,2071 3rd St,      San Francisco,37.7635576540922-122.388577088714
72,steep-creamery-and-tea-san-francisco,4,270 Brannan St,      San Francisco,37.7825348173521-122.391180229883
73,bubblecup-san-francisco-2,3.5,1900 Clement St,      San Francisco,37.7822781354189-122.479696422815
74,sweet-a-little-san-francisco-12,4.5,,      San Francisco,37.77448-122.40916
75,tea-hut-san-francisco-2,4.5,2815 California St,      San Francisco,37.7879050728042-122.440761682096
76,i-tea-san-francisco-2,3.5,2150 Irving St,      San Francisco,37.7635307-122.4811325
77,tancca-san-francisco-3,4.5,5015 Geary Blvd,      San Francisco,37.7804213-122.473284299999
78,sharetea-san-francisco-3,3.5,135 4th St,      San Francisco,37.7844643265332-122.403442928242
79,mi-tea-san-francisco,3.5,645 Irving St,      San Francisco,37.7639596-122.465019
80,bb-tea-station-san-francisco-3,3.5,1314 Noriega St,      San Francisco,37.7542929-122.4779253
81,tea-fm-san-francisco-3,3.5,1353 Taraval St,      San Francisco,37.7426391197427-122.480892284656
82,keep-it-san-francisco-6,4.5,1170 Powell St,      San Francisco,37.7955593172737-122.409816160798
83,mr-and-mrs-tea-house-san-francisco,3.5,544 Clement,      San Francisco,37.7830442934418-122.465241822931
84,e-tea-san-francisco,3.5,5344 Geary Blvd,      San Francisco,37.7805467694998-122.476978003979
85,gosu-san-francisco,3.5,1014 Clement St,      San Francisco,37.7829-122.47017
86,homeplate-boba-san-francisco,4,131-155 King St,      San Francisco,37.7787070106077-122.390157462239
87,cuppa-san-francisco,3.5,2810 Diamond St,      San Francisco,37.73429-122.43417
88,super-cue-cafe-san-francisco-2,8.9,1330 Ocean Ave,      San Francisco,37.7242954229777-122.457044541931
89,puppy-bobar-san-francisco,5,1142 Grant Ave,      San Francisco,37.7975399525428-122.406789958477
90,cool-tea-bar-san-francisco-4,3.5,103 Waverly Pl,      San Francisco,37.794315-122.406927
91,little-heaven-deli-san-francisco,4.5,2348 Mission St,      San Francisco,37.7594799999999-122.41943
92,5-sweets-san-francisco,4.5,1125 Ocean Ave 102,      San Francisco,37.723259-122.454559299999
93,good-earth-cafe-san-francisco-2,4.5,835 Kearny St,      San Francisco,37.7957898999999-122.405369999999
94,sweethut-san-francisco,3.5,519 Clement St,      San Francisco,37.7828876674175-122.464718297124
95,frostea-daly-city-2,3.5,6178 Mission St,      Daly City,37.70689-122.4588
