make,fuel_type,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,city_mpg,highway_mpg,price
jaguar,gas,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,8.1,176,15,19,35550
jaguar,gas,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,8.1,176,15,19,32250
mercedes-benz,gas,two,hardtop,rwd,front,112,199.2,72,55.4,3715,ohcv,eight,304,mpfi,8,184,14,16,45400
mercedes-benz,gas,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,8,184,14,16,40960
chevrolet,gas,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,9.5,48,47,53,5151
mazda,gas,two,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,two,70,4bbl,9.4,101,17,23,11845
mazda,gas,two,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,two,70,4bbl,9.4,101,17,23,10945
mazda,gas,two,hatchback,rwd,front,95.3,169,65.7,49.6,2385,rotor,two,70,4bbl,9.4,101,17,23,13645
jaguar,gas,two,sedan,rwd,front,102,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,11.5,262,13,17,36000
honda,gas,two,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,four,79,1bbl,10.1,60,38,42,5399
mazda,gas,two,hatchback,rwd,front,95.3,169,65.7,49.6,2500,rotor,two,80,mpfi,9.4,135,16,23,15645
dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,9.4,68,31,38,6692
dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,9.4,68,31,38,7609
plymouth,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,9.4,68,37,41,5572
dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,9.41,68,37,41,5572
dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,9.4,68,31,38,6377
plymouth,gas,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,9.4,68,31,38,6692
plymouth,gas,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,9.4,68,31,38,6229
dodge,gas,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,9.4,68,31,38,6229
chevrolet,gas,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,9.6,70,38,43,6575
isuzu,gas,two,sedan,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,9.6,70,38,43,12978
chevrolet,gas,two,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,9.6,70,38,43,6295
isuzu,gas,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,9.6,70,38,43,12978
mazda,gas,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,9,68,31,38,6695
mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,9,68,31,38,6095
