SKU,name,orderedQuantity,stockLevel,restockingLeadTime
GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,499,652,2
GGOEGOAB022499,Satin Black Ballpoint Pen,403,477,2
GGOEYHPB072210," Twill Cap",1429,1997,2
GGOEGEVB071799," Pocket Bluetooth Speaker",214,246,2
GGOEYOLR018699," Leatherette Notebook Combo",1148,1276,2
GGOEGOXQ016399,Badge Holder,916,1186,2
GGOEGAAX0074," 22 oz Water Bottle",8942,15607,2
GGOEGHPB003410," Snapback Hat Black",230,105,3
GGOEGOAA017199,Rubber Grip Ballpoint Pen 4 Pack,1515,1791,3
GGOEGFKQ020399," Laptop and Cell Phone Stickers",1033,1516,3
GGOEGOAB021499,Metal Texture Roller Pen,390,775,3
GGOEYOCR077399," RFID Journal",935,433,3
GGOEGBJL013999," Canvas Tote Natural/Navy",551,602,3
GGOEGCKQ013199,1 oz Hand Sanitizer,381,679,3
GGOEADHH055999,22 oz Android Bottle,597,738,4
GGOEGDHC018299," 22 oz Water Bottle",10075,19678,4
GGOEGAAX0081,Recycled Paper Journal Set,545,740,5
GGOEGALB036514," Women's Scoop Neck Tee Black",116,154,5
GGOENEBQ084699," Learning Thermostat 3rd Gen-USA - White",849,1142,5
GGOEGCBB074199," Car Clip Phone Holder",171,205,5
GGOEGOAR013599,Ballpoint Stylus Pen,769,942,5
GGOEGFSR022099," Kick Ball",15170,723,5
GGOEGAAB033813," Men's Vintage Badge Tee Black",72,135,5
GGOEGHPJ080110," 5-Panel Cap",47,87,5
GGOEGOAQ018099,Pen Pencil & Highlighter Set,1067,1939,5
GGOEGBRJ037399," Rucksack",212,228,5
GGOEGOLC014299," Metallic Notebook Set",2718,610,5
GGOEGAAX0098,"7"" Dog Frisbee",197,376,5
GGOEGHGR019499," Sunglasses",1046,1195,5
GGOEYAEJ029514," Women's Short Sleeve Tri-blend Badge Tee Charcoal",81,88,5
GGOEAKDH019899,Windup Android,1351,1674,5
GGOEGAAJ032614," Men's Short Sleeve Badge Tee Charcoal",62,97,5
GGOEGOFH020299," Screen Cleaning Cloth",844,1324,5
GGOEAHPJ074410,Android Twill Cap,91,161,5
GGOEGAAJ032316," Men's Short Sleeve Hero Tee Charcoal",59,98,5
GGOEGAAJ032813," Men's Long & Lean Tee Charcoal",52,85,5
GGOEGAAJ080615," Men's Bike Short Sleeve Tee Charcoal",78,129,5
GGOEGAAX0037," Sunglasses",4204,6805,5
GGOEGAWH061348," Onesie Green",67,110,5
GGOEGFKQ020799," Doodle Decal",1290,2080,5
GGOEGAAX0655," Toddler Short Sleeve T-shirt Grey",65,123,5
GGOEGCVB072399," Executive Umbrella",242,458,5
GGOEGHPB071610," Twill Cap",917,1755,5
GGOEGPJR018999,"7"" Dog Frisbee",168,324,5
GGOEGAAX0365," Women's Scoop Neck Tee Black",65,73,6
GGOEGHGH019699," Sunglasses",1573,2086,6
GGOEGAAH034015," Men's Vintage Badge Tee Sage",226,390,6
GGOEGAAX0795,25L Classic Rucksack,66,114,6
GGOEGAEJ028013," Women's Short Sleeve Hero Tee Grey",70,117,6
GGOEGAXJ065555," Toddler Short Sleeve T-shirt Grey",56,93,6
GGOEGBJC014399," Tote Bag",92,155,6
GGOEGAAX0318," Men's Short Sleeve Hero Tee Black",151,275,6
GGOEGALQ034213," Women's Vintage Hero Tee White",78,94,6
GGOEGHPJ080310," Blackout Cap",299,415,6
GGOEWFKA083299," Mood Ninja Window Decal",48,94,6
GGOEGEVR014999," Water Resistant Bluetooth Speaker",183,205,6
GGOEGAAJ057015," Men's Short Sleeve Performance Badge Tee Charcoal",88,137,6
GGOEGKWQ060910," Bib White",65,116,6
GGOEGAWN062749," Infant Zip Hood Pink",89,147,6
GGOEGAWQ062949," Baby Essentials Set",211,349,6
GGOEGAFB035815," Men's  Zip Hoodie",52,98,6
GGOEGETB023799," Power Bank",156,210,7
GGOEGEVB070599," G Noise-reducing Bluetooth Headphones",101,132,7
