stn,timestamp,temperature,wind_speed,precipitation
725030,2020-06-12 00:00:00 UTC,77.9,6.8,0.05
744860,2020-06-12 00:00:00 UTC,71.5,7.5,0.77
725030,2019-06-12 00:00:00 UTC,68.2,9.2,0.37
744860,2019-06-12 00:00:00 UTC,67.3,9.8,0.2
725030,2018-06-12 00:00:00 UTC,66.3,7.8,0.0
744860,2018-06-12 00:00:00 UTC,61.3,6.8,0.02
725030,2017-06-12 00:00:00 UTC,86.7,8.5,0.0
744860,2017-06-12 00:00:00 UTC,79.6,9.4,0.0
725030,2016-06-12 00:00:00 UTC,80.2,14.0,0.1
744860,2016-06-12 00:00:00 UTC,80.7,15.0,0.0
725030,2015-06-12 00:00:00 UTC,80.7,7.7,0.0
744860,2015-06-12 00:00:00 UTC,77.9,7.7,0.0
725030,2014-06-12 00:00:00 UTC,63.6,9.0,0.01
744860,2014-06-12 00:00:00 UTC,66.4,9.1,0.0
725030,2013-06-12 00:00:00 UTC,71.6,14.2,0.02
744860,2013-06-12 00:00:00 UTC,72.3,15.4,0.02
725030,2012-06-12 00:00:00 UTC,68.5,9.7,0.0
744860,2012-06-12 00:00:00 UTC,66.9,10.2,0.0
725030,2011-06-12 00:00:00 UTC,61.5,10.6,0.12
744860,2011-06-12 00:00:00 UTC,63.1,8.2,0.35
