year,complaint_type,num_complaints
2017,Noise - Residential,230152
2016,HEAT/HOT WATER,227959
2015,HEAT/HOT WATER,225706
2016,Noise - Residential,221906
2010,HEATING,214218
2017,HEAT/HOT WATER,213521
2015,Noise - Residential,208026
2013,HEATING,202896
2014,Noise - Residential,192608
2011,HEATING,190184
2012,HEATING,182974
2013,Noise - Residential,151516
2017,Illegal Parking,146122
2017,Blocked Driveway,136097
2011,GENERAL CONSTRUCTION,133242
2014,HEAT/HOT WATER,132767
2012,Noise - Residential,127943
2010,GENERAL CONSTRUCTION,127131
2015,Street Condition,124379
2016,Illegal Parking,122479
2016,Blocked Driveway,119046
2010,Street Light Condition,116466
2010,Noise - Residential,115615
2014,Street Condition,114545
2011,PLUMBING,113218
2012,GENERAL CONSTRUCTION,112436
2013,GENERAL CONSTRUCTION,112169
2010,PLUMBING,111504
2011,Noise - Residential,111447
2011,Street Condition,104694
2010,Street Condition,103218
2011,Street Light Condition,101314
2015,Blocked Driveway,100881
2011,PAINT - PLASTER,100704
2015,Street Light Condition,98106
2014,HEATING,97597
2017,Street Condition,94673
2014,Street Light Condition,94665
2012,Street Light Condition,93981
2010,PAINT - PLASTER,93194
2015,Illegal Parking,92679
2013,Street Light Condition,92502
2016,Street Condition,90674
2016,Street Light Condition,89122
2012,PLUMBING,87561
2013,PLUMBING,86564
2017,Street Light Condition,84195
2015,UNSANITARY CONDITION,82888
2016,UNSANITARY CONDITION,80469
2017,UNSANITARY CONDITION,79282
2014,Blocked Driveway,79170
2013,PAINT - PLASTER,77957
2012,PAINT - PLASTER,77287
2013,Street Condition,74213
2016,Water System,73372
2017,Noise - Street/Sidewalk,73085
2015,Water System,71085
2010,Water System,70195
2015,PAINT/PLASTER,69698
2010,NONCONST,69659
2011,NONCONST,68407
2012,Street Condition,67135
2017,Water System,65302
2014,PAINT/PLASTER,63503
2014,Illegal Parking,63243
2014,PLUMBING,63221
2014,UNSANITARY CONDITION,61789
2011,Water System,61578
2016,Noise - Street/Sidewalk,61199
2016,PAINT/PLASTER,60336
2017,Noise,60171
2012,NONCONST,60055
2016,Noise,58493
2012,Water System,57676
2013,Blocked Driveway,57408
2015,Noise,57365
2017,PAINT/PLASTER,57076
2014,Water System,55884
2015,PLUMBING,55418
2013,NONCONST,53831
2010,Traffic Signal Condition,53773
2013,Water System,53186
2016,PLUMBING,52592
2011,Blocked Driveway,52592
2015,Noise - Street/Sidewalk,51692
2014,Noise,51176
2012,Blocked Driveway,50818
2012,Damaged Tree,50434
2010,Blocked Driveway,49970
2017,PLUMBING,49969
2018,HEAT/HOT WATER,49620
2016,Noise - Commercial,49006
2010,General Construction/Plumbing,48620
2012,Traffic Signal Condition,47778
2017,Noise - Commercial,47394
2011,Traffic Signal Condition,47165
2017,Request Large Bulky Item Collection,46614
2011,Sewer,46286
2016,Homeless Person Assistance,45609
2013,Traffic Signal Condition,44739
2013,Illegal Parking,44156
2015,Noise - Commercial,44109
2010,Sewer,43694
2013,DOF Literature Request,43159
2014,Traffic Signal Condition,42489
2015,Traffic Signal Condition,42309
2015,DOOR/WINDOW,40005
2013,Noise,39238
2010,Damaged Tree,39178
2010,ELECTRIC,39036
2017,Sanitation Condition,38961
2011,ELECTRIC,37802
2016,Traffic Signal Condition,37527
2016,DOOR/WINDOW,37524
2014,Noise - Commercial,37325
2012,Sewer,36968
2011,Dirty Conditions,36926
2014,Sewer,36510
2017,Missed Collection (All Materials),36261
2017,Traffic Signal Condition,36178
2017,Dirty Conditions,36010
2015,WATER LEAK,35570
2014,Noise - Street/Sidewalk,35484
2010,Dirty Conditions,35457
2012,ELECTRIC,35398
2017,DOF Literature Request,35222
2013,ELECTRIC,35101
2017,Rodent,35075
2017,DOOR/WINDOW,35012
2017,Derelict Vehicle,35007
2016,Sanitation Condition,34986
2015,Dirty Conditions,34398
2011,Illegal Parking,34204
2012,Noise,34178
2013,Broken Muni Meter,34129
2016,Dirty Conditions,33988
2012,Dirty Conditions,33661
2017,Derelict Vehicles,33572
2013,Dirty Conditions,33227
2016,Sewer,32913
2017,Sewer,32912
2014,Dirty Conditions,32630
2015,Sanitation Condition,32460
2017,WATER LEAK,32181
2011,Damaged Tree,32106
2011,Noise,32041
2012,Illegal Parking,32037
2016,WATER LEAK,31954
2015,Sewer,31902
2013,Sewer,31481
2016,Rodent,31439
2014,DOF Literature Request,31006
2014,ELECTRIC,30403
2010,Building/Use,30367
2016,Missed Collection (All Materials),30263
2016,General Construction/Plumbing,30174
2015,ELECTRIC,30133
2010,Noise,29862
2015,DOF Literature Request,29690
2014,Broken Muni Meter,29568
2017,General Construction/Plumbing,29445
2017,Noise - Vehicle,29409
2015,Rodent,29314
2016,Derelict Vehicle,29097
2017,Building/Use,29013
2014,WATER LEAK,28929
2014,DOOR/WINDOW,28925
2016,DOF Literature Request,28855
2015,General Construction/Plumbing,28188
2016,Derelict Vehicles,28099
2010,Sanitation Condition,28090
2016,ELECTRIC,28007
2015,FLOORING/STAIRS,27815
2016,Building/Use,27534
2014,Sanitation Condition,27149
2014,General Construction/Plumbing,27146
2011,Building/Use,26886
2016,GENERAL,26815
2014,Building/Use,26777
2015,GENERAL,26755
2013,Noise - Commercial,26520
2014,GENERAL,26219
2012,Building/Use,26154
2017,ELECTRIC,25920
2011,General Construction/Plumbing,25774
2015,Building/Use,25490
2012,General Construction/Plumbing,25342
2015,Missed Collection (All Materials),25282
2016,Benefit Card Replacement,25060
2013,Building/Use,25009
2017,GENERAL,24964
2013,Sanitation Condition,24888
2016,FLOORING/STAIRS,24811
2013,Noise - Street/Sidewalk,24609
2013,General Construction/Plumbing,24581
2011,Sanitation Condition,24563
2014,Rodent,24515
2017,Damaged Tree,24480
2012,Sanitation Condition,24451
2016,Broken Muni Meter,24262
2016,Damaged Tree,23941
2017,FLOORING/STAIRS,23935
2016,Noise - Vehicle,23861
2017,Homeless Person Assistance,23344
2012,DOF Literature Request,23047
2015,Broken Muni Meter,22972
2010,Taxi Complaint,22662
2010,DHS Advantage - Tenant,22548
2015,Benefit Card Replacement,22464
2013,Rodent,22345
2010,Rodent,22186
2012,Broken Muni Meter,22085
2015,Derelict Vehicle,21661
2014,Missed Collection (All Materials),21589
2011,Rodent,21494
2012,Rodent,21327
2014,FLOORING/STAIRS,21113
2010,Noise - Commercial,20894
2012,Noise - Commercial,20599
2010,Graffiti,20416
2010,Illegal Parking,19900
2014,Damaged Tree,19893
2012,Noise - Street/Sidewalk,19433
2017,Graffiti,19364
2015,Noise - Vehicle,19352
2013,New Tree Request,19251
2011,Taxi Complaint,19059
2015,Derelict Vehicles,18957
2011,Missed Collection (All Materials),18922
2012,Taxi Complaint,18689
2011,Noise - Commercial,18338
2016,New Tree Request,18337
2017,Benefit Card Replacement,18296
2010,Noise - Street/Sidewalk,18096
2014,New Tree Request,17982
2012,Consumer Complaint,17946
2015,Damaged Tree,17860
2015,Taxi Complaint,17858
2013,Damaged Tree,17741
2015,Consumer Complaint,17683
2010,Consumer Complaint,17663
2014,Consumer Complaint,17563
2011,Noise - Street/Sidewalk,17439
2011,SCRIE,17395
2013,Consumer Complaint,17234
2014,Benefit Card Replacement,17161
2017,Consumer Complaint,17123
2017,New Tree Request,17012
2011,Consumer Complaint,17006
2013,Taxi Complaint,16961
2014,Taxi Complaint,16743
2013,Missed Collection (All Materials),16608
2016,Consumer Complaint,16484
2010,Missed Collection (All Materials),16309
2012,SCRIE,16240
2014,Graffiti,16125
2011,DHS Advantage - Tenant,16104
2017,DOF Property - Reduction Issue,16087
2011,Graffiti,16004
2012,Graffiti,15988
2014,GENERAL CONSTRUCTION,15885
2011,Broken Muni Meter,15876
2014,Overgrown Tree/Branches,15801
2016,Taxi Complaint,15737
2014,Derelict Vehicle,15197
2015,Overgrown Tree/Branches,15164
2014,Noise - Vehicle,15154
2015,New Tree Request,15096
2010,APPLIANCE,15017
2017,Maintenance or Facility,15001
2010,Overgrown Tree/Branches,14968
2014,Snow,14764
2010,DHS Advantage -Landlord/Broker,14637
2010,Derelict Vehicle,14487
2017,Overgrown Tree/Branches,14479
2017,Taxi Complaint,14466
2016,Maintenance or Facility,14409
2012,Overgrown Tree/Branches,14253
2013,Overgrown Tree/Branches,14139
2010,Traffic/Illegal Parking,14047
2011,DHS Advantage -Landlord/Broker,14044
2013,DOF Property - Reduction Issue,13867
2015,Graffiti,13717
2012,Noise - Vehicle,13657
2011,APPLIANCE,13611
2010,Broken Muni Meter,13592
2017,Electronics Waste,13574
2010,DOF Parking - Payment Issue,13529
2013,Graffiti,13511
2010,Noise - Vehicle,13498
2012,Missed Collection (All Materials),13488
2011,Overgrown Tree/Branches,13482
2015,Snow,13002
2011,Derelict Vehicle,12923
2016,APPLIANCE,12902
2017,Elevator,12794
2013,Noise - Vehicle,12772
2014,Derelict Vehicles,12630
2017,APPLIANCE,12609
2016,Overgrown Tree/Branches,12608
2016,Graffiti,12590
2018,Noise - Residential,12574
2016,Elevator,12547
2011,Noise - Vehicle,12407
2011,Snow,12123
2014,PAINT - PLASTER,12116
2010,Snow,12024
2017,Snow,11792
2013,Derelict Vehicles,11783
2015,Maintenance or Facility,11779
2014,DOF Property - Reduction Issue,11773
2013,Derelict Vehicle,11733
2015,DOF Property - Reduction Issue,11641
2015,HPD Literature Request,11498
2016,Lead,11441
2010,DOF Property - Owner Issue,11435
2010,Lead,11254
2015,APPLIANCE,11238
2017,Dead/Dying Tree,11224
2010,Derelict Vehicles,10849
2011,DOF Property - Owner Issue,10783
2011,Derelict Vehicles,10573
2010,Dead Tree,10569
2012,Derelict Vehicle,10563
2015,Animal Abuse,10541
2017,Food Establishment,10420
2016,Food Establishment,10407
2015,Dead Tree,10398
2012,Derelict Vehicles,10376
2014,APPLIANCE,10336
2012,DOF Property - Reduction Issue,10333
2014,Dead Tree,10289
2014,Maintenance or Facility,10283
2018,Water System,10261
2016,Dead/Dying Tree,10213
2013,Benefit Card Replacement,10209
2011,DOF Parking - Payment Issue,10174
2016,Animal Abuse,10068
2016,DOF Property - Reduction Issue,10017
2017,Non-Emergency Police Matter,10000
2010,Root/Sewer/Sidewalk Condition,9970
2010,SCRIE,9968
2015,Root/Sewer/Sidewalk Condition,9963
2010,New Tree Request,9859
2013,Street Sign - Damaged,9856
2011,New Tree Request,9849
2015,SAFETY,9847
2012,DOF Parking - Payment Issue,9808
2011,Sidewalk Condition,9708
2015,Elevator,9686
2017,Broken Muni Meter,9635
2015,Food Establishment,9612
2013,DOF Parking - Payment Issue,9605
2012,Root/Sewer/Sidewalk Condition,9569
2014,DOF Parking - Payment Issue,9568
2011,DOF Property - Reduction Issue,9561
2012,New Tree Request,9344
2012,DOF Property - Owner Issue,9329
2016,Non-Emergency Police Matter,9210
2017,Animal Abuse,9187
2013,Root/Sewer/Sidewalk Condition,9186
2014,Animal Abuse,9158
2018,Blocked Driveway,9040
2014,Root/Sewer/Sidewalk Condition,9036
2014,NONCONST,8938
2010,Maintenance or Facility,8925
2012,Maintenance or Facility,8907
2016,Air Quality,8829
2012,Noise Survey,8801
2014,Elevator,8792
2011,Maintenance or Facility,8772
2014,DOF Property - Owner Issue,8772
2013,Dead Tree,8699
2012,Dead Tree,8687
2017,Root/Sewer/Sidewalk Condition,8672
2017,SAFETY,8648
2015,DOF Property - Owner Issue,8582
2016,SAFETY,8572
2017,For Hire Vehicle Complaint,8562
2011,Dead Tree,8509
2015,Air Quality,8499
2013,Maintenance or Facility,8411
2015,Agency Issues,8395
2014,SCRIE,8363
2013,SCRIE,8363
2013,DOF Property - Owner Issue,8280
2013,Elevator,8254
2010,DOF Property - Request Copy,8154
2018,Illegal Parking,8108
2011,Root/Sewer/Sidewalk Condition,8065
2014,Food Establishment,8042
2017,Other Enforcement,7998
2016,Root/Sewer/Sidewalk Condition,7995
2014,Highway Condition,7946
2012,Elevator,7936
2017,Lead,7932
2012,Special Enforcement,7900
2015,SCRIE,7797
2010,Elevator,7781
2017,Air Quality,7695
2015,Non-Emergency Police Matter,7506
2011,Noise Survey,7502
2014,SAFETY,7461
2010,Sidewalk Condition,7461
2012,Sidewalk Condition,7310
2016,Other Enforcement,7212
2014,Air Quality,7130
2011,Elevator,7103
2018,Request Large Bulky Item Collection,7080
2015,Highway Condition,7020
2015,Construction,7011
2012,Air Quality,6932
2016,Street Sign - Damaged,6885
2010,Air Quality,6843
2013,Air Quality,6813
2014,Non-Emergency Police Matter,6757
2013,Food Establishment,6744
2017,DOF Property - Payment Issue,6591
2016,DOF Property - Update Account,6560
2012,Food Establishment,6522
2016,SCRIE,6520
2015,Homeless Person Assistance,6505
2015,Other Enforcement,6495
2011,Air Quality,6405
2017,Plumbing,6398
2011,DOF Property - Request Copy,6361
2017,DOF Property - Request Copy,6337
2014,DOF Property - Request Copy,6334
2013,Special Enforcement,6300
2017,Street Sign - Damaged,6285
2011,Food Establishment,6236
2010,Food Establishment,6224
2016,Sidewalk Condition,6214
2012,DOF Property - Request Copy,6172
2017,Housing - Low Income Senior,6166
2017,DOF Property - Update Account,6088
2012,Street Sign - Damaged,6026
2012,Construction,6020
2017,Sidewalk Condition,6012
2015,DOF Parking - Payment Issue,6006
2015,Water Conservation,6003
2016,For Hire Vehicle Complaint,5987
2012,APPLIANCE,5981
2016,Housing - Low Income Senior,5955
2016,DOF Property - Request Copy,5917
2015,DOF Property - Request Copy,5915
2010,DCA / DOH New License Application Request,5894
2015,Housing - Low Income Senior,5889
2014,Construction,5883
2016,Standing Water,5838
2014,Street Sign - Damaged,5835
2013,Housing - Low Income Senior,5797
2011,Street Sign - Damaged,5791
2010,Broken Parking Meter,5766
2018,PLUMBING,5765
2017,DOT Literature Request,5765
2014,DOF Property - Payment Issue,5672
2011,Broken Parking Meter,5658
2016,Traffic,5627
2013,Construction,5612
2017,Traffic,5591
2017,Special Enforcement,5578
2013,DOF Property - Request Copy,5562
2014,Other Enforcement,5558
2014,Housing - Low Income Senior,5545
2013,APPLIANCE,5525
2010,DOF Property - Payment Issue,5504
2016,Snow,5485
2015,Sidewalk Condition,5416
2011,Housing - Low Income Senior,5356
2010,Special Enforcement,5279
2018,UNSANITARY CONDITION,5230
2010,Indoor Air Quality,5215
2017,SCRIE,5200
2015,Traffic,5198
2010,Street Sign - Damaged,5197
2010,DOF Property - Reduction Issue,5188
2016,Homeless Encampment,5174
2013,Other Enforcement,5171
2015,DOF Property - Payment Issue,5166
2015,Street Sign - Damaged,5156
2017,Vending,5119
2011,Special Enforcement,5111
2012,Housing - Low Income Senior,5099
2017,Street Sign - Missing,5057
2014,Indoor Air Quality,4989
2011,DOF Property - Payment Issue,4973
2016,Fire Safety Director - F58,4959
2017,Homeless Encampment,4943
2018,Street Condition,4918
2015,Homeless Encampment,4879
2010,Other Enforcement,4860
2018,Street Light Condition,4856
2014,Special Projects Inspection Team (SPIT),4831
2015,Indoor Air Quality,4802
2014,Special Enforcement,4775
2011,Lead,4774
2016,Street Sign - Missing,4729
2013,Fire Safety Director - F58,4711
2014,Sidewalk Condition,4702
2016,Vending,4702
2015,Fire Safety Director - F58,4701
2014,Fire Safety Director - F58,4693
2017,Noise - Park,4674
2013,Non-Emergency Police Matter,4657
2015,Plumbing,4654
2014,Water Conservation,4534
2011,DCA / DOH New License Application Request,4527
2011,Plumbing,4486
2012,Other Enforcement,4483
2013,Sidewalk Condition,4468
2013,Indoor Air Quality,4464
2011,Highway Condition,4412
2017,Indoor Air Quality,4407
2014,Street Sign - Missing,4400
2011,Other Enforcement,4368
2010,Electrical,4361
2016,Indoor Air Quality,4357
2015,Street Sign - Missing,4332
2012,Fire Safety Director - F58,4322
2016,Plumbing,4302
2010,Vending,4286
2013,Street Sign - Missing,4278
2018,PAINT/PLASTER,4263
2010,Highway Condition,4231
2017,DOF Parking - Payment Issue,4201
2015,Vending,4192
2016,Water Conservation,4168
2012,Indoor Air Quality,4155
2011,Indoor Air Quality,4146
2011,Vending,4137
2018,Traffic Signal Condition,4128
2013,DOF Property - Payment Issue,4127
2011,Non-Emergency Police Matter,4119
2015,Noise - Park,4109
2016,DOF Property - Payment Issue,4108
2010,Plumbing,4096
2015,For Hire Vehicle Complaint,4090
2011,Electrical,4027
2016,DOF Parking - Payment Issue,3979
2015,Special Enforcement,3977
2012,DOF Property - Payment Issue,3949
2012,Non-Emergency Police Matter,3902
2014,Electrical,3887
2016,Noise - Park,3886
2010,Housing - Low Income Senior,3880
2017,Electrical,3857
2014,Noise - Park,3834
2012,Benefit Card Replacement,3819
2014,Traffic,3813
2014,Plumbing,3804
2011,Construction,3781
2016,Highway Condition,3775
2010,Non-Emergency Police Matter,3749
2017,Special Projects Inspection Team (SPIT),3744
2012,Vending,3699
2013,Water Conservation,3692
2018,Snow,3681
2016,Special Enforcement,3680
2012,Plumbing,3636
2016,Agency Issues,3626
2016,Electronics Waste,3549
2012,DCA / DOH New License Application Request,3541
2016,HPD Literature Request,3538
2016,Special Projects Inspection Team (SPIT),3529
2011,Street Sign - Missing,3509
2018,DOOR/WINDOW,3508
2016,Food Poisoning,3432
2010,Street Sign - Missing,3415
2017,Highway Condition,3347
2010,Water Conservation,3333
2013,Vending,3306
2016,Electrical,3301
2015,Special Projects Inspection Team (SPIT),3295
2017,Food Poisoning,3287
2012,Electrical,3267
2015,Taxi Report,3222
2014,Vending,3218
2013,Special Projects Inspection Team (SPIT),3215
2012,Broken Parking Meter,3166
2016,Hazardous Materials,3150
2012,Street Sign - Missing,3132
2015,Hazardous Materials,3129
2011,Litter Basket / Request,3124
2016,DOT Literature Request,3115
2013,Electrical,3109
2012,For Hire Vehicle Complaint,3085
2017,Illegal Tree Damage,3082
2012,Standing Water,3043
2011,Traffic,3035
2015,Food Poisoning,3031
2011,Water Conservation,3031
2017,Hazardous Materials,3030
2014,Homeless Encampment,3025
2017,HPD Literature Request,2984
2017,Water Conservation,2967
2016,Illegal Tree Damage,2961
2013,Agency Issues,2960
2017,Litter Basket / Request,2943
2013,Noise - Park,2940
2013,Food Poisoning,2926
2018,WATER LEAK,2919
2011,Special Projects Inspection Team (SPIT),2916
2014,Litter Basket / Request,2915
2015,DOT Literature Request,2913
2014,Food Poisoning,2904
2012,Food Poisoning,2892
2012,Noise - Park,2889
2012,Traffic,2875
2013,Plumbing,2870
2014,For Hire Vehicle Complaint,2811
2015,Electrical,2809
2013,Traffic,2799
2016,Curb Condition,2797
2014,Hazardous Materials,2769
2012,Hazardous Materials,2757
2010,Special Projects Inspection Team (SPIT),2753
2010,Food Poisoning,2751
2016,Taxi Report,2751
2013,Hazardous Materials,2743
2011,Food Poisoning,2741
2010,Housing Options,2733
2012,Special Projects Inspection Team (SPIT),2728
2011,DOF Literature Request,2715
2013,DCA / DOH New License Application Request,2696
2013,Litter Basket / Request,2687
2017,Standing Water,2671
2016,Litter Basket / Request,2667
2018,DOF Literature Request,2656
2015,Litter Basket / Request,2616
2018,Noise,2610
2015,Illegal Tree Damage,2595
2013,Highway Condition,2567
2010,Litter Basket / Request,2551
2017,Curb Condition,2544
2011,Unsanitary Animal Pvt Property,2544
2018,Noise - Commercial,2535
2011,For Hire Vehicle Complaint,2534
2017,Agency Issues,2531
2013,For Hire Vehicle Complaint,2485
2013,Snow,2475
2013,Homeless Encampment,2474
2013,Vacant Lot,2461
2012,Unsanitary Animal Pvt Property,2415
2014,Illegal Tree Damage,2387
2017,Smoking,2383
2012,Litter Basket / Request,2382
2010,For Hire Vehicle Complaint,2372
2017,Opinion for the Mayor,2358
2015,Asbestos,2350
2013,DOT Literature Request,2332
2015,Unsanitary Animal Pvt Property,2329
2011,Noise - Park,2329
2015,Lead,2313
2017,Vacant Lot,2303
2017,Unsanitary Animal Pvt Property,2282
2016,Violation of Park Rules,2279
2012,Vacant Lot,2277
2010,Unsanitary Animal Pvt Property,2262
2010,Noise - Park,2261
2017,Taxi Report,2226
2017,School Maintenance,2191
2012,DHS Advantage - Tenant,2189
2012,Homeless Encampment,2186
2018,ELECTRIC,2186
2014,Standing Water,2182
2016,Unsanitary Animal Pvt Property,2181
2012,Highway Condition,2176
2012,Water Conservation,2173
